timestamp,hour_bucket,source,count,track_id,class_id,center_x,center_y,line_start_x,line_end_x,line_y,x1,y1,x2,y2
2026-03-31T14:13:12,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,1,85,7,261,102,0,319,101,231,83,292,121
2026-03-31T14:13:12,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,2,96,2,261,102,0,319,101,231,83,291,121
2026-03-31T14:13:15,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,3,133,2,291,129,0,319,128,263,99,319,159
2026-03-31T14:13:16,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,4,153,2,292,129,129,319,128,266,104,319,155
2026-03-31T14:13:22,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,5,211,2,239,129,129,270,128,203,100,275,158
2026-03-31T14:13:23,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,6,238,2,240,131,129,272,128,204,104,277,158
2026-03-31T14:14:05,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,7,850,2,243,130,129,263,128,204,100,283,161
2026-03-31T14:14:07,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,8,875,2,237,130,129,263,128,200,104,274,157
2026-03-31T14:14:33,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,9,1476,2,242,132,129,263,128,206,105,278,159
2026-03-31T14:14:35,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,10,1477,2,248,129,129,263,128,213,104,283,155
2026-03-31T14:14:49,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,11,1698,2,253,132,129,263,128,213,101,294,164
2026-03-31T14:15:02,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,12,1946,2,240,130,129,263,128,205,104,275,156
2026-03-31T14:15:07,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,13,1947,7,256,129,129,263,128,192,80,320,179
2026-03-31T14:15:10,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,14,1985,7,257,129,129,263,128,214,89,301,169
2026-03-31T14:15:12,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,15,2152,3,170,129,129,263,128,162,118,179,140
2026-03-31T14:15:15,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,16,2154,2,238,131,129,263,128,199,102,277,161
2026-03-31T14:15:26,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,17,2308,7,243,131,129,263,128,207,105,280,158
2026-03-31T14:15:36,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,18,2380,2,240,129,129,263,128,205,102,276,157
2026-03-31T14:15:40,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,19,2418,2,232,129,129,263,128,197,103,268,155
2026-03-31T14:15:43,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,20,2533,2,244,132,129,263,128,206,102,283,162
2026-03-31T14:15:53,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,21,2689,2,228,129,129,263,128,194,105,263,154
2026-03-31T14:15:57,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,22,2706,7,245,129,129,263,128,199,86,291,172
2026-03-31T14:16:07,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,23,2948,7,254,130,129,263,128,207,90,302,170
2026-03-31T14:16:15,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,24,3018,2,239,131,129,263,128,202,101,277,161
2026-03-31T14:16:39,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,25,3417,2,239,130,129,263,128,204,104,275,156
2026-03-31T14:16:45,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,26,3657,7,236,130,129,263,128,194,101,278,159
2026-03-31T14:16:48,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,27,3611,2,234,130,129,263,128,200,103,268,158
2026-03-31T14:17:35,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,28,4165,2,233,129,129,263,128,200,102,267,157
2026-03-31T14:17:36,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,29,4204,2,243,129,129,263,128,207,101,280,158
2026-03-31T14:18:01,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,30,4597,5,248,131,129,263,128,209,97,287,166
2026-03-31T14:18:21,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,31,4908,2,236,129,129,263,128,199,103,274,156
2026-03-31T14:18:27,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,32,5076,7,245,129,129,263,128,208,95,283,163
2026-03-31T14:18:41,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,33,5382,2,240,130,129,263,128,204,104,276,157
2026-03-31T14:18:47,2026-03-31 14:00:00,https://cctv-ss02.thb.gov.tw/T2-0K+060,34,5488,2,236,131,129,263,128,199,104,273,159
